work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020.0,EN,FT,Azure Data Engineer,100000.0,MU,0.0,MU,S
2020.0,EN,CT,Staff Data Analyst,44753.0,CA,0.0,CA,L
2020.0,SE,FT,Staff Data Scientist,164000.0,US,50.0,US,M
2020.0,EN,FT,Data Analyst,47899.0,DE,0.0,DE,L
2020.0,EX,FT,Data Scientist,300000.0,US,100.0,US,L
2020.0,MI,CT,Sales Data Analyst,60000.0,NG,0.0,NG,M
2020.0,EX,FT,Staff Data Analyst,15000.0,NG,0.0,CA,M
2020.0,EN,FT,Data Analyst,22809.0,PT,100.0,PT,M
2020.0,EN,FT,Data Scientist,49268.0,DE,0.0,DE,S
2024.0,SE,FT,Machine Learning Manager,117104.0,CA,0.0,CA,L
2024.0,EN,FT,Data Engineer,54742.0,PK,100.0,DE,L
2020.0,MI,FT,Product Data Analyst,20000.0,HN,0.0,Unknown,S
2020.0,MI,FT,Data Engineer,59303.0,DE,0.0,DE,S
2020.0,EN,FT,Unknown,70000.0,US,100.0,US,L
2020.0,SE,FT,Data Scientist,68428.0,GR,100.0,US,L
2020.0,MI,FT,Research Scientist,450000.0,US,0.0,US,M
2020.0,MI,FT,Data Analyst,46759.0,FR,50.0,FR,L
2020.0,MI,FT,Data Engineer,74130.0,AT,50.0,AT,L
2020.0,MI,FT,Data Scientist,103000.0,US,100.0,US,L
2020.0,EN,FT,Machine Learning Engineer,250000.0,US,50.0,US,L
2020.0,EN,FT,Machine Learning Engineer,138000.0,US,100.0,US,S
2020.0,MI,FT,Data Scientist,45760.0,PH,100.0,US,S
2020.0,EX,FT,Data Engineer,79833.0,ES,50.0,ES,L
2020.0,MI,FT,Machine Learning Infrastructure Engineer,50180.0,PT,0.0,PT,M
2020.0,MI,FT,Unknown,106000.0,US,100.0,US,M
2020.0,MI,FT,Data Engineer,112872.0,GB,50.0,GB,L
2020.0,EN,PT,Machine Learning Engineer,15966.0,DE,100.0,DE,S
2020.0,MI,FT,Unknown,76958.0,GB,100.0,GB,S
2024.0,SE,FT,Data Engineer,188000.0,US,100.0,US,L
2020.0,MI,FT,Data Scientist,105000.0,US,100.0,US,L
2020.0,Unknown,FT,Data Engineer,70139.0,FR,50.0,FR,L
2020.0,SE,FT,Data Engineer,33511.0,MX,0.0,MX,S
2020.0,EN,FT,Data Analyst,91000.0,US,100.0,Unknown,L
2020.0,EN,FT,Unknown,42000.0,NL,50.0,NL,L
2020.0,MI,FT,Lead Data Scientist,115000.0,AE,0.0,AE,L
2020.0,SE,FT,Unknown,260000.0,JP,0.0,JP,S
2020.0,SE,FT,Big Data Engineer,109024.0,GB,50.0,GB,M
2020.0,MI,FT,Data Scientist,79833.0,DE,0.0,DE,L
2020.0,SE,FT,Machine Learning Engineer,150000.0,US,50.0,US,L
2020.0,EN,FT,Data Analyst,72000.0,US,100.0,US,L
2020.0,Unknown,FT,Lead Data Scientist,190000.0,US,100.0,US,S
2020.0,MI,FT,Data Scientist,35735.0,HU,50.0,HU,L
2020.0,MI,FT,Business Data Analyst,135000.0,US,100.0,US,L
2020.0,SE,FT,Lead Data Engineer,125000.0,NZ,50.0,NZ,S
2020.0,EN,FT,Data Scientist,51321.0,FR,0.0,FR,S
2020.0,MI,FT,Data Scientist,40481.0,IN,0.0,IN,L
2020.0,EN,FT,Data Scientist,160786.308902044,FR,0.0,FR,M
2020.0,MI,FT,Unknown,87000.0,US,100.0,US,L
2020.0,MI,FT,Data Analyst,160786.308902044,US,100.0,US,L
2020.0,EN,FT,Data Engineer,41689.0,JP,100.0,JP,S
2020.0,SE,FT,Big Data Engineer,114047.0,PL,100.0,GB,S
2020.0,Unknown,FT,Lead Data Engineer,56000.0,PT,100.0,US,M
2024.0,MI,FT,BI Data Analyst,98000.0,US,0.0,US,M
2020.0,EX,FT,Data Scientist,160786.308902044,US,100.0,Unknown,L
2020.0,EN,FT,AI Scientist,45896.0,DK,50.0,DK,S
2020.0,MI,FT,Data Scientist,42197.0,FR,50.0,FR,S
2020.0,EN,FT,Data Scientist,62726.0,DE,50.0,DE,S
2020.0,EN,PT,Data Scientist,21669.0,IT,50.0,IT,S
2020.0,MI,FT,Data Engineer,160786.308902044,US,100.0,US,L
2020.0,SE,FT,Data Scientist,120000.0,US,50.0,US,L
2020.0,SE,FL,Computer Vision Engineer,60000.0,RU,100.0,US,S
2020.0,SE,FT,Unknown,148261.0,DE,100.0,DE,M
2020.0,MI,FT,Data Scientist,38776.0,ES,0.0,ES,M
2020.0,SE,FT,Data Scientist,91237.0,AT,0.0,AT,S
2020.0,MI,FT,Data Scientist,62726.0,FR,50.0,LU,S
2024.0,SE,FT,Data Scientist,190200.0,US,100.0,US,M
2020.0,MI,FT,Data Scientist,160786.308902044,US,100.0,US,M
2020.0,MI,FT,Data Scientist,138350.0,US,100.0,US,M
2020.0,MI,FT,Data Engineer,130800.0,ES,100.0,US,M
2020.0,SE,FT,Machine Learning Engineer,160786.308902044,HR,100.0,HR,S
2020.0,SE,FT,Data Scientist,412000.0,US,100.0,US,L
2020.0,EN,FT,Data Scientist,105000.0,US,0.0,US,S
2020.0,EN,CT,Business Data Analyst,100000.0,US,100.0,US,L
2021.0,SE,FT,Staff Machine Learning Engineer,185000.0,US,50.0,US,M
2021.0,MI,FT,Business Data Analyst,56000.0,GH,100.0,US,M
2021.0,SE,FL,Machine Learning Developer,60000.0,NG,100.0,NG,M
2021.0,MI,FT,Data Scientist,150000.0,US,100.0,US,M
2021.0,EN,FT,Marketing Data Engineer,66970.0,SG,50.0,SG,L
2021.0,SE,FT,Data Scientist,54094.0,IN,100.0,IN,L
2021.0,MI,FT,Data Analyst,16904.0,IN,50.0,IN,M
2021.0,SE,FT,Data Analyst,160786.308902044,US,100.0,US,S
2021.0,MI,FT,Data Engineer,75050.0,AU,50.0,AU,L
2021.0,EN,FT,Data Analyst,42028.0,AU,50.0,AU,L
2021.0,EN,FT,Machine Learning Research Engineer,20000.0,FR,50.0,FR,M
2021.0,EN,FT,Machine Learning Developer,15000.0,TH,100.0,TH,L
2021.0,EN,FT,Data Engineer,45390.0,GB,50.0,GB,L
2021.0,EN,PT,Computer Vision Software Engineer,19073.0,DK,50.0,DK,L
2021.0,SE,FT,Data Analyst,50000.0,US,100.0,Unknown,S
2021.0,MI,FT,Machine Learning Engineer,51064.0,IT,50.0,IT,L
2021.0,MI,FT,Data Scientist,109000.0,US,50.0,US,L
2021.0,SE,FT,Unknown,102839.0,SI,100.0,SI,L
2024.0,MI,FT,Research Scientist,69999.0,CZ,50.0,CZ,L
2021.0,SE,FT,Data Engineer,160786.308902044,US,0.0,US,M
2021.0,SE,FT,Data Scientist,240000.0,US,0.0,US,L
2021.0,MI,FT,Data Analyst,135000.0,US,100.0,US,L
2021.0,EN,FT,Data Scientist,80000.0,US,100.0,US,M
2021.0,SE,FT,Principal Data Scientist,220000.0,US,0.0,US,L
2021.0,MI,FT,Machine Learning Engineer,77364.0,JP,50.0,JP,S
2021.0,MI,FT,Machine Learning Engineer,63711.0,JP,50.0,JP,S
